pubchem_id,GDSC_id,drug_name,TARGET,TARGET_PATHWAY
135418940,1268,XAV939,"TNKS1, TNKS2",WNT signaling
11707110,1372,Trametinib,"MEK1, MEK2",ERK MAPK signaling
44462760,1373,Dabrafenib,BRAF,ERK MAPK signaling
5394,1375,Temozolomide,DNA alkylating agent,DNA replication
5460769,1378,Bleomycin (50 uM),dsDNA break induction,DNA replication
46893585,1382,AZD3514,AR,Hormone-related
54761306,1394,AZD6738,ATR,Genome integrity
16747683,1401,AZD5438,CDK2,Cell cycle
68289010,1403,AZD6094,MET,RTK signaling
10368812,1409,AZD4877,EG5,Mitosis
11488320,1416,AZD8931,"EGFR, ERBB2, ERBB3",RTK signaling
3372016,1425,BPTES,GLS,Other
49847690,1427,AZD5582,IAP,Other
16659841,1432,AZD1480,"JAK1, JAK2","Other, kinases"
25262792,1441,AZD2014,"mTORC1, mTORC2",PI3K/MTOR signaling
52913813,1444,AZD8186,"PI3Kbeta, PI3Kdelta",PI3K/MTOR signaling
76685059,1445,AZD8835,"PI3Kalpha, PI3Kdelta",PI3K/MTOR signaling
58423153,1449,AZD1208,"PIM1, PIM2, PIM3","Other, kinases"
49831044,1463,AZD1332,"NTRK1, NTRK2, NTRK3",RTK signaling
104842,1494,SN-38,TOP1,DNA replication
41867,1511,Epirubicin,Anthracycline,DNA replication
2907,1512,Cyclophosphamide,Alkylating agent,DNA replication
16720766,1529,Pevonedistat,NAE,Other
78243717,1530,PFI-3,"PB1, SMARCA4, SMARCA2",Chromatin other
90488984,1531,I-CBP112,"EP300, CBP",Chromatin histone acetylation
11488320,1549,Sapitinib,"EGFR, ERBB2, ERBB3",EGFR signaling
51042438,1553,Uprosertib,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
56649450,1560,Alpelisib,PI3Kalpha,PI3K/MTOR signaling
51001932,1561,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling
57345410,1563,EPZ5676,DOT1L,Chromatin histone methylation
24866313,1564,SCH772984,"ERK1, ERK2",ERK MAPK signaling
2155128,1576,IWP-2,PORCN,WNT signaling
3899,1578,Leflunomide,Pyrimidine synthesis inhibitor,DNA replication
73010930,1580,GSK2801,,Chromatin other
72943187,1581,Bromosporine,"CECR2, BRD2, BRD4, BRD9",Chromatin other
72201027,1582,SGC-CBP30,"EP300, CBP",Chromatin histone acetylation
71522234,1583,GSK-LSD1,KDM1,Chromatin histone methylation
59472121,1613,VE-822,ATR,Genome integrity
72200024,1614,WZ4003,"NUAK1, NUAK2","Other, kinases"
42623951,1615,CZC24832,PI3Kgamma,PI3K/MTOR signaling
53469448,1618,GSK2606414,PERK,Metabolism
24753719,1621,PCI-34051,"HDAC8, HDAC6, HDAC1",Chromatin histone acetylation
135564749,1625,RVX-208,BRD4,Chromatin other
9936746,1626,OTX015,"BRD2, BRD3, BRD4",Chromatin other
71268957,1627,GSK343,EZH2,Chromatin histone methylation
60167849,1629,ML323,"USP1, UAF1",Protein stability and degradation
59473233,1630,Entospletinib,SYK,"Other, kinases"
44462758,1631,PRT062607,SYK,"Other, kinases"
