,pc1,pc2,split,modality
ACH-000667,2.026418860864218,6.379443680617566,train,methylation
ACH-000978,1.970636439969376,9.697188086909133,train,methylation
ACH-000115,-3.6485579727046122,2.488188027430313,train,methylation
ACH-000678,-4.693206643403992,1.2499029028109816,train,methylation
ACH-000525,-3.2272871462337602,4.277376414315804,train,methylation
ACH-000475,-7.834759871093926,0.31241981430273197,train,methylation
ACH-000042,-0.048262690587534775,-0.7981323029199311,train,methylation
ACH-000627,-3.54194235572349,0.3575826784979957,train,methylation
ACH-000183,1.4236468178288553,-2.460278517731043,train,methylation
ACH-000756,3.6874143388003837,12.451544369942468,train,methylation
ACH-000547,-8.886780386926796,1.3310113215435195,train,methylation
ACH-000349,4.994625651297397,10.862629168516179,train,methylation
ACH-000651,-0.9513742638714017,-1.7907396013267785,train,methylation
ACH-001075,-5.636591076118432,0.01733430152863766,train,methylation
ACH-000277,6.37208724445669,14.908475591377831,train,methylation
ACH-000613,-5.3519897427117655,0.0729304666303698,train,methylation
ACH-000930,-4.430722064276431,-3.611094052204053,train,methylation
ACH-000986,-2.4274787189803178,-3.461612505166344,train,methylation
ACH-000637,-4.301134180676851,-3.874350393084929,train,methylation
ACH-000478,12.579249419419472,28.94546971350629,train,methylation
ACH-000117,-4.289943066759897,-0.39479623058912605,train,methylation
ACH-000713,-8.41191547791646,0.09662909078655865,train,methylation
ACH-000113,3.524591873899264,-7.158803528204085,train,methylation
ACH-000949,5.820356048100037,-7.800003029074279,train,methylation
ACH-000358,-6.667023329966042,-0.03819004812699437,train,methylation
ACH-000857,-10.928724355372783,0.6068912175128505,train,methylation
ACH-000376,-4.807767836256312,0.6386815981802821,train,methylation
ACH-001306,-8.343953295056455,-0.7368853279999926,train,methylation
ACH-000886,-5.223690185154941,-1.6508050756314938,train,methylation
ACH-000374,-5.428879975756381,-0.9558178047433133,train,methylation
ACH-000914,23.373318526266846,17.074887907553343,train,methylation
ACH-000352,-4.765133724075873,-0.6028369886935003,train,methylation
ACH-000124,11.39032752971739,-9.526702266796947,train,methylation
ACH-000913,1.0326559261753432,11.53482392741421,train,methylation
ACH-000111,-3.1571717708428944,5.240313236645003,train,methylation
ACH-000677,7.309524063412266,0.5428609019120382,train,methylation
ACH-000464,-5.807549434340309,1.132071986568169,train,methylation
ACH-000493,-5.38872252144514,2.5403284140376092,train,methylation
ACH-000059,18.250537493764817,-9.622676457430716,train,methylation
ACH-000624,-5.774635089967355,5.167904168169099,train,methylation
ACH-000880,14.26169319940443,-7.796059834411739,train,methylation
ACH-000341,-4.483774923402466,4.516827786236135,train,methylation
ACH-000554,-2.56494340940569,-2.4195966180853303,train,methylation
ACH-000379,0.7016816156693337,0.08854735460920565,train,methylation
ACH-000754,11.952616517902477,-12.50703111152427,train,methylation
ACH-000804,1.719071062403411,10.021823867687377,train,methylation
ACH-000939,-3.6243425150528132,-0.059842557309722044,train,methylation
ACH-000674,-2.9195954698954614,-4.883797011824387,train,methylation
ACH-000615,0.6810617960150988,-2.8420828039294297,train,methylation
ACH-000269,10.326931345809859,1.3808106907837205,train,methylation
ACH-000207,-5.447152478718788,-0.9438250958019022,train,methylation
ACH-000729,-2.5603371068399348,0.6601326911929967,train,methylation
ACH-000181,-8.207485269914999,0.08322819206015794,train,methylation
ACH-000879,-5.837361624273467,0.36724968093507576,train,methylation
ACH-000654,28.223155990674105,-11.299603205889772,train,methylation
ACH-000425,-0.5528283750065127,2.15789913613366,train,methylation
ACH-000893,-5.569023044425851,-1.6932322812802927,train,methylation
ACH-000248,-8.413579484663149,0.8905219925859841,train,methylation
ACH-000056,9.452284381411424,-5.566549424758466,train,methylation
ACH-000149,-7.809922918513795,0.24724333954338304,train,methylation
ACH-000222,-0.0910805316033304,-5.2508238001324505,train,methylation
ACH-000535,-4.185127125620739,1.8806815530102954,train,methylation
ACH-000840,-4.63458958565166,-1.8910916583106248,train,methylation
ACH-000212,0.8620384106059612,7.085529877098647,train,methylation
