tissue,drug_name,n_cells,scc_bcgdrp,scc_drugmean,drugmean_reason
BREAST,Savolitinib,41,0.07073170731707319,,"constant within a drug, rank undefined"
BREAST,Selumetinib,41,0.33048780487804885,,"constant within a drug, rank undefined"
BREAST,Sepantronium bromide,41,0.09285714285714287,,"constant within a drug, rank undefined"
BREAST,Serdemetan,41,-0.014111498257839724,,"constant within a drug, rank undefined"
BREAST,Sorafenib,41,0.07578397212543554,,"constant within a drug, rank undefined"
BREAST,TW 37,17,0.12009803921568628,,"constant within a drug, rank undefined"
BREAST,Tamoxifen,41,0.2331010452961673,,"constant within a drug, rank undefined"
BREAST,Tanespimycin,41,0.3000000000000001,,"constant within a drug, rank undefined"
BREAST,Taselisib,41,0.09268292682926832,,"constant within a drug, rank undefined"
BREAST,Telomerase Inhibitor IX,41,0.15679442508710806,,"constant within a drug, rank undefined"
BREAST,Temozolomide,41,0.006968641114982579,,"constant within a drug, rank undefined"
BREAST,Temsirolimus,40,-0.05103189493433397,,"constant within a drug, rank undefined"
BREAST,Tozasertib,39,-0.01700404858299595,,"constant within a drug, rank undefined"
BREAST,Trametinib,41,0.5421602787456448,,"constant within a drug, rank undefined"
BREAST,UMI-77,37,-0.15813181602655282,,"constant within a drug, rank undefined"
BREAST,Uprosertib,40,0.3416510318949344,,"constant within a drug, rank undefined"
BREAST,VE-822,37,-0.2892366050260787,,"constant within a drug, rank undefined"
BREAST,VE821,41,-0.08919860627177703,,"constant within a drug, rank undefined"
BREAST,VX-11e,41,0.24895470383275264,,"constant within a drug, rank undefined"
BREAST,Veliparib,41,-0.020034843205574915,,"constant within a drug, rank undefined"
BREAST,Venotoclax,41,-0.09581881533101047,,"constant within a drug, rank undefined"
BREAST,Vinblastine,37,0.24063537221431955,,"constant within a drug, rank undefined"
BREAST,Vinorelbine,41,0.3860627177700349,,"constant within a drug, rank undefined"
BREAST,Vismodegib,41,0.006271777003484322,,"constant within a drug, rank undefined"
BREAST,Vorinostat,42,0.2501418037436189,,"constant within a drug, rank undefined"
BREAST,WEHI-539,40,-0.3741088180112571,,"constant within a drug, rank undefined"
BREAST,WIKI4,41,-0.05313588850174217,,"constant within a drug, rank undefined"
BREAST,WZ4003,37,-0.044570886676149835,,"constant within a drug, rank undefined"
BREAST,Wee1 Inhibitor,41,-0.03449477351916377,,"constant within a drug, rank undefined"
BREAST,Wnt-C59,37,0.1505452821242295,,"constant within a drug, rank undefined"
BREAST,YK-4-279,41,0.13414634146341464,,"constant within a drug, rank undefined"
BREAST,ZM447439,41,-0.010627177700348435,,"constant within a drug, rank undefined"
